#Observation	name	definition	A.1	A.2	B.1	B.2
K05681	ABCG2, CD338	ATP-binding cassette, subfamily G (WHITE), member 2	1	0	2	0
K14689	SLC30A2, ZNT2	solute carrier family 30 (zinc transporter), member 2	1	0	1	0
K09065	argF	N-acetylornithine carbamoyltransferase [EC:2.1.3.9]	1	0	1	0
K10040	peb1B, glnP, glnM	aspartate/glutamate/glutamine transport system permease protein	1	0	1	0
K04772	degQ, hhoA	serine protease DegQ [EC:3.4.21.-]	1	0	1	0
K13412	CPK	calcium-dependent protein kinase [EC:2.7.11.1]	1	0	1	0
K09696	natB	sodium transport system permease protein	1	0	1	0
K08178	JEN	MFS transporter, SHS family, lactate transporter	1	0	1	0
K00462	bphC	biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]	1	0	1	0
K01193	INV, sacA	beta-fructofuranosidase [EC:3.2.1.26]	1	0	1	0
K00654	SPT	serine palmitoyltransferase [EC:2.3.1.50]	1	0	1	0
K20423	ncsB2	2-hydroxy-7-methoxy-5-methyl-1-naphthoate---CoA ligase [EC:6.2.1.43]	1	0	1	0
K07537	dch	cyclohexa-1,5-dienecarbonyl-CoA hydratase [EC:4.2.1.100]	3	0	1	0
K03910	A2M	alpha-2-macroglobulin	1	0	1	0
K13572	pafB	proteasome accessory factor B	1	0	4	0
K09997	artI	arginine transport system substrate-binding protein	2	0	1	0
K16050	hsaD	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase [EC:3.7.1.17]	1	0	2	0
K21395	yiaO	TRAP-type transport system periplasmic protein	2	0	1	0
K15428	DUG1	Cys-Gly metallodipeptidase DUG1 [EC:3.4.13.-]	1	0	1	0
K18453	NUDT23	ADP-ribose/FAD diphosphatase [EC:3.6.1.13 3.6.1.18]	1	0	1	0
K00293	LYS9	saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]	1	0	1	0
K09228	KRAB	KRAB domain-containing zinc finger protein	2	0	1	0
K12961	diaA	DnaA initiator-associating protein	1	0	1	0
K14746	ped	(S)-1-phenylethanol dehydrogenase [EC:1.1.1.311]	2	0	2	0
K03018	RPC1, POLR3A	DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]	1	0	1	0
K02167	betI	TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes	1	0	1	0
K08722	yfbR	5'-deoxynucleotidase [EC:3.1.3.89]	1	0	1	0
K22262	WDFY3, ALFY	WD repeat and FYVE domain-containing protein 3	1	0	1	0
K03974	pspF	psp operon transcriptional activator	1	0	1	0
K22364	xecC	2-oxopropyl-CoM reductase (carboxylating) [EC:1.8.1.5]	1	0	1	0
K03150	thiH	2-iminoacetate synthase [EC:4.1.99.19]	2	0	1	0
K09880	mtnC, ENOPH1	enolase-phosphatase E1 [EC:3.1.3.77]	2	0	2	0
K08737	MSH6	DNA mismatch repair protein MSH6	1	0	1	0
K05841	E2.4.1.173	sterol 3beta-glucosyltransferase [EC:2.4.1.173]	3	0	1	0
K12909	phpI	carboxyvinyl-carboxyphosphonate phosphorylmutase [EC:2.7.8.23]	2	0	1	0
K02389	flgD	flagellar basal-body rod modification protein FlgD	1	0	1	0
K03535	gudP	MFS transporter, ACS family, glucarate transporter	3	0	2	0
K18609	pldh	pyridoxal 4-dehydrogenase [EC:1.1.1.107]	1	0	3	0
K06865	K06865	ATPase	1	0	1	0
K22311	ptfP1	phosphatidylinositol dimannoside acyltransferase [EC:2.3.1.265]	1	0	5	0
K15024	K15024	putative phosphotransacetylase [EC:2.3.1.8]	1	0	1	0
K18275	phdK	2-formylbenzoate dehydrogenase [EC:1.2.1.78]	1	0	1	0
K03559	exbD	biopolymer transport protein ExbD	2	0	4	0
K03739	dltB	membrane protein involved in D-alanine export	3	0	1	0
K12663	ECH1	Delta3,5-Delta2,4-dienoyl-CoA isomerase [EC:5.3.3.21]	1	0	1	0
K18767	blaCTX-M	beta-lactamase class A CTX-M [EC:3.5.2.6]	1	0	1	0
K02014	TC.FEV.OM	iron complex outermembrane recepter protein	2	0	1	0
K02386	flgA	flagellar basal body P-ring formation protein FlgA	1	0	1	0
K15942	snoaC, dnrC, dauC, aknG	O-methyltransferase / aklanonic acid methyltransferase [EC:2.1.1.- 2.1.1.288]	1	0	1	0
K01611	speD, AMD1	S-adenosylmethionine decarboxylase [EC:4.1.1.50]	2	0	3	0
K12257	secDF	SecD/SecF fusion protein	1	0	1	0
K16200	dppB1	dipeptide transport system permease protein	1	0	2	0
K01115	PLD1_2	phospholipase D1/2 [EC:3.1.4.4]	1	0	1	0
K01590	hdc, HDC	histidine decarboxylase [EC:4.1.1.22]	1	0	2	0
K05709	hcaF, hcaA2	3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:1.14.12.19]	1	0	2	0
K15956	dnrU	daunorubicin C-13 ketoreductase	1	0	1	0
K05297	rubB, alkT	rubredoxin---NAD+ reductase [EC:1.18.1.1]	1	0	1	0
K06016	pydC	beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]	1	0	1	0
K06720	ectC	L-ectoine synthase [EC:4.2.1.108]	1	0	2	0
K11089	TROVE2, SSA2	60 kDa SS-A/Ro ribonucleoprotein	1	0	2	0
K08776	NPEPPS	puromycin-sensitive aminopeptidase [EC:3.4.11.-]	2	0	2	0
K09825	perR	Fur family transcriptional regulator, peroxide stress response regulator	1	0	1	0
K00365	uaZ	urate oxidase [EC:1.7.3.3]	1	0	1	0
K10119	msmG	raffinose/stachyose/melibiose transport system permease protein	2	0	0	2
K02044	phnD	phosphonate transport system substrate-binding protein	1	0	0	1
K14439	SMARCAD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:3.6.4.12]	1	0	0	1
K18441	CYTH	cytohesin	1	0	0	1
K13278	ASPG	60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1]	1	0	0	1
K03299	TC.GNTP	gluconate:H+ symporter, GntP family	3	0	0	1
K12454	rfbE	CDP-paratose 2-epimerase [EC:5.1.3.10]	3	0	0	1
K08576	CAPN7	calpain-7 [EC:3.4.22.-]	1	0	0	1
K08194	dgoT	MFS transporter, ACS family, D-galactonate transporter	2	0	0	2
K08358	ttrB	tetrathionate reductase subunit B	2	0	0	1
K19413	KDM1B, AOF1, LSD2	lysine-specific histone demethylase 1B [EC:1.-.-.-]	1	0	0	1
K08972	K08972	putative membrane protein	1	0	0	1
K12426	fadD26	long-chain fatty acid adenylase/transferase FadD26 [EC:6.2.1.59]	1	0	0	1
K14826	FPR3_4	FK506-binding nuclear protein [EC:5.2.1.8]	1	0	0	5
K18691	mltF	membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]	1	0	0	3
K01832	TBXAS1, CYP5A	thromboxane-A synthase [EC:5.3.99.5]	1	0	0	1
K07154	hipA	serine/threonine-protein kinase HipA [EC:2.7.11.1]	1	0	0	1
K11183	fruB, fpr	multiphosphoryl transfer protein [EC:2.7.1.202]	1	0	0	1
K14268	davT, gabT	5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]	4	0	0	2
K01060	cah	cephalosporin-C deacetylase [EC:3.1.1.41]	1	0	0	1
K01066	aes	acetyl esterase [EC:3.1.1.-]	1	0	0	1
K12885	RBMX, HNRNPG	heterogeneous nuclear ribonucleoprotein G	1	0	0	2
K09798	K09798	uncharacterized protein	1	0	0	2
K10972	allS	LysR family transcriptional regulator, transcriptional activator of the allD operon	2	0	0	1
K19191	mabO	4-methylaminobutanoate oxidase (formaldehyde-forming) [EC:1.5.3.19]	3	0	0	2
K21903	cadC, smtB	ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor	1	0	0	1
K02523	ispB	octaprenyl-diphosphate synthase [EC:2.5.1.90]	4	0	0	1
K02521	ilvY	LysR family transcriptional regulator, positive regulator for ilvC	1	0	0	3
K04109	hcrB, hbaD	4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.1.7.1]	1	0	0	1
K09497	CCT5	T-complex protein 1 subunit epsilon	1	0	0	1
K14266	prnA, rebH, ktzQ	tryptophan 7-halogenase [EC:1.14.19.9]	1	0	0	2
K08746	SLC27A2, FACVL1, FATP2	solute carrier family 27 (fatty acid transporter), member 2 [EC:6.2.1.- 6.2.1.3]	1	0	0	1
K07693	desR	two-component system, NarL family, response regulator DesR	1	0	0	1
K22470	SQOR	eukaryotic sulfide quinone oxidoreductase [EC:1.8.5.8]	2	0	0	1
K14647	vpr	minor extracellular serine protease Vpr [EC:3.4.21.-]	1	0	0	1
K03420	psmR	proteasome regulatory subunit	1	0	0	2
K13955	yogA	zinc-binding alcohol dehydrogenase/oxidoreductase	1	0	0	1
K12555	pbp2A	penicillin-binding protein 2A [EC:2.4.1.129 3.4.16.4]	1	0	0	1
K00903	epsB	protein-tyrosine kinase [EC:2.7.10.2]	1	0	0	1
K01451	hipO	hippurate hydrolase [EC:3.5.1.32]	2	0	0	1
K00002	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	1	0	0	1
K04016	nrfE	cytochrome c-type biogenesis protein NrfE	2	0	0	2
K15665	K15665, ppsB, fenD	fengycin family lipopeptide synthetase B	2	0	0	2
K00863	DAK, TKFC	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	1	0	0	1
K02647	cdaR	carbohydrate diacid regulator	1	0	0	1
K12375	ARSI_J	arylsulfatase I/J [EC:3.1.6.-]	2	0	0	1
K09999	artQ	arginine transport system permease protein	1	0	0	1
K21755	bsdA	LysR family transcriptional regulator, salicylic acid-responsive activator of bsdBCD	1	0	0	1
K19720	COL3A	collagen type III alpha	1	0	0	1
K13939	FOL1	dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:4.1.2.25 2.7.6.3 2.5.1.15]	1	0	0	1
K04756	ahpD	lipoyl-dependent peroxiredoxin subunit D [EC:1.11.1.28]	1	0	0	1
K16901	K16901	anthranilate 3-monooxygenase (FAD) / 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.8 1.14.14.9]	3	0	0	2
K12741	HNRNPA1_3	heterogeneous nuclear ribonucleoprotein A1/A3	2	0	0	1
K00662	aacC	aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	1	0	0	1
K10529	DOX	alpha-dioxygenase [EC:1.14.99.-]	1	0	0	2
K17884	E2.7.8.39	archaetidylinositol phosphate synthase [EC:2.7.8.39]	1	0	0	1
K00069	HPGD	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	2	0	0	1
K14358	SCRN	secernin	1	0	0	1
K01719	hemD, UROS	uroporphyrinogen-III synthase [EC:4.2.1.75]	1	0	0	1
K13179	DDX18, HAS1	ATP-dependent RNA helicase DDX18/HAS1 [EC:3.6.4.13]	1	0	0	1
K13195	CIRBP	cold-inducible RNA-binding protein	1	0	0	1
K15923	AXY8, FUC95A, afcA	alpha-L-fucosidase 2 [EC:3.2.1.51]	2	0	0	1
K18983	gci	D-galactarolactone cycloisomerase [EC:5.5.1.27]	1	0	0	1
K07012	cas3	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]	1	0	0	1
K21442	ANKRD54	ankyrin repeat domain-containing protein 54	1	0	0	1
K07496	K07496	putative transposase	1	0	0	2
K07019	K07019	uncharacterized protein	1	0	0	1
K10084	EDEM1	ER degradation enhancer, mannosidase alpha-like 1	1	0	0	1
K04883	KCNAB2	potassium voltage-gated channel Shaker-related subfamily A, beta member 2	1	0	0	1
K00547	mmuM, BHMT2	homocysteine S-methyltransferase [EC:2.1.1.10]	3	0	0	2
K14983	ciaR	two-component system, OmpR family, response regulator CiaR	1	0	0	1
K02612	paaD	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD	1	0	0	1
K09553	STIP1	stress-induced-phosphoprotein 1	1	0	0	1
K02380	fdhE	FdhE protein	3	0	0	2
K03367	dltA	D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	2	0	0	1
K18088	bphAd, bphA4, bphG	biphenyl 2,3-dioxygenase ferredoxin reductase component [EC:1.18.1.3]	3	0	0	2
K03634	lolA	outer membrane lipoprotein carrier protein	2	0	0	1
K03534	rhaM	L-rhamnose mutarotase [EC:5.1.3.32]	1	0	0	2
K08929	pufM	photosynthetic reaction center M subunit	1	0	0	1
K10875	RAD54L, RAD54	DNA repair and recombination protein RAD54 and RAD54-like protein [EC:3.6.4.-]	2	0	0	1
K07732	rfk	riboflavin kinase, archaea type [EC:2.7.1.161]	7	0	0	1
K10526	OPCL1	OPC-8:0 CoA ligase 1 [EC:6.2.1.-]	1	0	0	1
K17623	PUDP, HDHD1	pseudouridine 5'-phosphatase [EC:3.1.3.96]	1	0	0	1
K22187	xylA	alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-]	1	0	0	4
K03734	apbE	FAD:protein FMN transferase [EC:2.7.1.180]	1	0	0	1
K19690	CHK1	osomolarity two-component system, sensor histidine kinase CHK1 [EC:2.7.13.3]	1	0	0	1
K11264	scpB, mmcD	methylmalonyl-CoA decarboxylase [EC:4.1.1.-]	1	0	0	1
K05662	ABCB7, ATM	ATP-binding cassette, subfamily B (MDR/TAP), member 7	2	0	0	1
K02490	spo0F	two-component system, response regulator, stage 0 sporulation protein F	1	0	0	2
K21618	DLD3	(R)-2-hydroxyglutarate---pyruvate transhydrogenase [EC:1.1.99.40]	2	0	0	1
K09708	ACE2, ACEH	angiotensin-converting enzyme 2 [EC:3.4.17.23]	1	0	0	1
K15011	regB, regS, actS	two-component system, sensor histidine kinase RegB [EC:2.7.13.3]	1	0	0	1
K11084	phnT	2-aminoethylphosphonate transport system ATP-binding protein	2	0	0	1
K15173	TTF2	transcription termination factor 2 [EC:3.6.4.-]	1	0	0	2
K09140	TSR3	pre-rRNA-processing protein TSR3	1	0	0	1
K00313	fixC	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	3	0	0	1
K19302	bcrC	undecaprenyl-diphosphatase [EC:3.6.1.27]	2	0	0	1
K00889	PIP5K	1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]	1	0	0	1
K00154	E1.2.1.68	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	2	0	0	3
K08173	ydfJ	MFS transporter, MHS family, metabolite:H+ symporter	1	0	0	1
K22215	galD	galactose dehydrogenase [EC:1.1.1.48 1.1.1.120]	4	0	0	1
K13799	panC-cmk	pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]	2	0	0	1
K13025	EIF4A3, FAL1	ATP-dependent RNA helicase [EC:3.6.4.13]	1	0	0	2
K03269	lpxH	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	2	0	0	1
K12442	ppsC	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase C [EC:2.3.1.292]	3	0	0	3
K01360	PCSK2	proprotein convertase subtilisin/kexin type 2 [EC:3.4.21.94]	1	0	0	0
K00189	vorG, porG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]	1	0	0	0
K19269	PGP, PGLP	phosphoglycolate phosphatase [EC:3.1.3.18 3.1.3.48]	1	0	0	0
K04468	NLK	nemo like kinase [EC:2.7.11.24]	1	0	0	0
K02927	RP-L40e, RPL40, UBA52	ubiquitin-large subunit ribosomal protein L40e	3	0	0	0
K17816	NUDT1, MTH1	8-oxo-dGTP diphosphatase / 2-hydroxy-dATP diphosphatase [EC:3.6.1.55 3.6.1.56]	1	0	0	0
K01031	pcaI	3-oxoadipate CoA-transferase, alpha subunit [EC:2.8.3.6]	1	0	0	0
K16965	ddhB	dimethylsulfide dehydrogenase subunit beta	2	0	0	0
K00146	feaB	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	1	0	0	0
K13654	mcbR	GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator	1	0	0	0
K13651	mqsR	motility quorum-sensing regulator / GCU-specific mRNA interferase toxin	1	0	0	0
K07463	K07463	archaea-specific RecJ-like exonuclease	1	0	0	0
K03459	focB	formate transporter	1	0	0	0
K14171	AHP1	alkyl hydroperoxide reductase 1 [EC:1.11.1.24]	1	0	0	0
K18445	ndx1	diadenosine hexaphosphate hydrolase (ATP-forming) [EC:3.6.1.61]	1	0	0	0
K03855	fixX	ferredoxin like protein	1	0	0	0
K12460	KIDINS220, ARMS	ankyrin repeat-rich membrane spanning protein	2	0	0	0
K04884	KCNAB3	potassium voltage-gated channel Shaker-related subfamily A, beta member 3	1	0	0	0
K03079	ulaE, sgaU, sgbU	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]	1	0	0	0
K20679	fdtA	TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase [EC:5.3.2.3]	1	0	0	0
K16195	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2 [EC:2.7.11.1]	1	0	0	0
K16199	dppE	dipeptide transport system substrate-binding protein	1	0	0	0
K21411	ANKLE1, LEM3	ankyrin repeat and LEM domain-containing protein 1	1	0	0	0
K07357	fimB	type 1 fimbriae regulatory protein FimB	1	0	0	0
K06225	PTCH1	patched 1	1	0	0	0
K20207	gpx	hydroperoxy fatty acid reductase [EC:1.11.1.22]	1	0	0	0
K20203	sudB	sulfide dehydrogenase subunit beta [EC:1.8.1.19]	2	0	0	0
K08984	yjdF	putative membrane protein	2	0	0	0
K05599	antA	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]	1	0	0	0
K10698	UBE1L, UBA7	ubiquitin-activating enzyme E1-like [EC:6.2.1.45]	1	0	0	0
K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]	2	0	0	0
K14333	DHBD	2,3-dihydroxybenzoate decarboxylase [EC:4.1.1.46]	1	0	0	0
K18356	padI	phenylglyoxylate dehydrogenase beta subunit [EC:1.2.1.58]	1	0	0	0
K01821	praC, xylH	4-oxalocrotonate tautomerase [EC:5.3.2.6]	1	0	0	0
K13479	ygeT, xdhB	xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]	1	0	0	0
K05582	ndhK	NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]	1	0	0	0
K03622	ssh10b	archaea-specific DNA-binding protein	1	0	0	0
K15898	pseI, neuB3	pseudaminic acid synthase [EC:2.5.1.97]	1	0	0	0
K21201	CYP119	cytochrome P450 family 119 [EC:1.11.1.7]	1	0	0	0
K14445	SLC13A2_3_5	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5	1	0	0	0
K13641	iclR	IclR family transcriptional regulator, acetate operon repressor	1	0	0	0
K08353	phsB	thiosulfate reductase electron transport protein	1	0	0	0
K00584	mtrH	tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]	1	0	0	0
K02848	waaP, rfaP	heptose I phosphotransferase [EC:2.7.1.-]	1	0	0	0
K16963	yxeO	putative S-methylcysteine transport system ATP-binding protein	1	0	0	0
K07425	CYP4A	long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]	1	0	0	0
K09935	ybiA	N-glycosidase YbiA [EC:3.2.2.-]	1	0	0	0
K13658	gumI	beta-1,4-mannosyltransferase [EC:2.4.1.251]	1	0	0	0
K06212	focA	formate transporter	2	0	0	0
K10591	NEDD4, RSP5	E3 ubiquitin-protein ligase NEDD4 [EC:2.3.2.26]	1	0	0	0
K06961	KRR1	ribosomal RNA assembly protein	2	0	0	0
K00743	GGTA1	N-acetyllactosaminide 3-alpha-galactosyltransferase [EC:2.4.1.87]	1	0	0	0
K19633	sr	sorbose reductase [EC:1.1.1.289]	1	0	0	0
K10771	APEX1	AP endonuclease 1 [EC:4.2.99.18]	2	0	0	0
K07166	K07166	ACT domain-containing protein	1	0	0	0
K05826	lysW	alpha-aminoadipate/glutamate carrier protein LysW	2	0	0	0
K15528	FAAH	fatty acid amide hydrolase [EC:3.5.1.99]	1	0	0	0
K18205	hypBA1	non-reducing end beta-L-arabinofuranosidase [EC:3.2.1.185]	1	0	0	0
K22531	ATAD2	ATPase family AAA domain-containing protein 2 [EC:3.6.1.-]	1	0	0	0
K21822	E1.13.11.82	8'-apo-carotenoid 13,14-cleaving dioxygenase [EC:1.13.11.82]	1	0	0	0
K02908	RP-L30e, RPL30	large subunit ribosomal protein L30e	1	0	0	0
K14856	SDA1, SDAD1	protein SDA1	1	0	0	0
K14455	GOT2	aspartate aminotransferase, mitochondrial [EC:2.6.1.1]	1	0	0	0
K16324	psuT	putative pseudouridine transporter	1	0	0	0
K10038	glnQ	glutamine transport system ATP-binding protein [EC:7.4.2.1]	1	0	0	0
K09740	K09740	uncharacterized protein	2	0	0	0
K13107	RBMX2, IST3	RNA-binding motif protein, X-linked 2	1	0	0	0
K12507	fadK	acyl-CoA synthetase [EC:6.2.1.-]	1	0	0	0
K15600	thiZ	putative hydroxymethylpyrimidine transport system ATP-binding protein	1	0	0	0
K22336	bfrB	bacterioferritin B [EC:1.16.3.1]	2	0	0	0
K08697	ccmL	carbon dioxide concentrating mechanism protein CcmL	1	0	0	0
K06202	cyaY	CyaY protein	1	0	0	0
K18857	ADH1	alcohol dehydrogenase class-P [EC:1.1.1.1]	2	0	0	0
K18754	LIN28	protein lin-28	1	0	0	0
K11181	dsrB	dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]	2	0	0	0
K15784	doeB	N2-acetyl-L-2,4-diaminobutanoate deacetylase [EC:3.5.1.125]	2	0	0	0
K15780	tilS-hprT	bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8]	2	0	0	0
K10341	WSB1	WD repeat and SOCS box-containing protein 1	1	0	0	0
K18574	ptpA	Xaa-Xaa-Pro tripeptidyl-peptidase [EC:3.4.14.12]	1	0	0	0
K09814	hrtA	hemin transport system ATP-binding protein [EC:7.6.2.-]	1	0	0	0
K19344	nirC	cytochrome c55X	1	0	0	0
K18105	rtcA	RNA 3'-terminal phosphate cyclase (GTP) [EC:6.5.1.5]	1	0	0	0
K19299	aph3-III	aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]	1	0	0	0
K11400	ARP4	actin-related protein 4	1	0	0	0
K11200	mngA, hrsA	2-O-A-mannosyl-D-glycerate PTS system EIIABC component [EC:2.7.1.195]	1	0	0	0
K05548	benK	MFS transporter, AAHS family, benzoate transport protein	1	0	0	0
K03310	TC.AGCS	alanine or glycine:cation symporter, AGCS family	1	0	0	0
K03311	TC.LIVCS	branched-chain amino acid:cation transporter, LIVCS family	1	0	0	0
K02941	RP-LP0, RPLP0	large subunit ribosomal protein LP0	1	0	0	0
K18815	aac6-I	aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]	1	0	0	0
K17723	preA	dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]	2	0	0	0
K12536	hasD, prtD, aprD	ATP-binding cassette, subfamily C, bacterial exporter for protease/lipase	2	0	0	0
K06933	K06933	uncharacterized protein	1	0	0	0
K00125	fdhB	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	1	0	0	0
K09796	pccA	periplasmic copper chaperone A	1	0	0	0
K06641	CHEK2	serine/threonine-protein kinase CHEK2 [EC:2.7.11.1]	3	0	0	0
K03366	butA, budC	meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]	1	0	0	0
K19613	SHOC2, SUR8	leucine-rich repeat protein SHOC2	1	0	0	0
K21350	E2.4.1.329	sucrose 6(F)-phosphate phosphorylase [EC:2.4.1.329]	1	0	0	0
K03538	POP4, RPP29	ribonuclease P protein subunit POP4 [EC:3.1.26.5]	1	0	0	0
K18014	kal	3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]	2	0	0	0
K21232	MOCS2A, CNXG	molybdopterin synthase sulfur carrier subunit	1	0	0	0
K05804	rob	AraC family transcriptional regulator, mar-sox-rob regulon activator	1	0	0	0
K15059	amnB	2-aminophenol/2-amino-5-chlorophenol 1,6-dioxygenase subunit beta [EC:1.13.11.74 1.13.11.76]	1	0	0	0
K15503	ANKRD44	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	2	0	0	0
K00533	E1.12.7.2L	ferredoxin hydrogenase large subunit [EC:1.12.7.2]	1	0	0	0
K00532	E1.12.7.2	ferredoxin hydrogenase [EC:1.12.7.2]	2	0	0	0
K01257	LNPEP	cystinyl aminopeptidase [EC:3.4.11.3]	1	0	0	0
K14274	xylC	xylono-1,5-lactonase [EC:3.1.1.110]	1	0	0	0
K08234	yaeR	glyoxylase I family protein	1	0	0	0
K03338	iolC	5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]	1	0	0	0
K12591	RRP6, EXOSC10	exosome complex exonuclease RRP6 [EC:3.1.13.-]	1	0	0	0
K01077	E3.1.3.1, phoA, phoB	alkaline phosphatase [EC:3.1.3.1]	1	0	0	0
K21131	colD	GDP-4-dehydro-6-deoxy-alpha-D-mannose 3-dehydratase [EC:4.2.1.168]	1	0	0	0
K19997	gnu	GlcNAc-P-P-Und epimerase [EC:5.1.3.26]	1	0	0	0
K15587	nikD, cntD	nickel transport system ATP-binding protein [EC:7.2.2.11]	1	0	0	0
K02783	srlA	glucitol/sorbitol PTS system EIIC component	1	0	0	0
K02073	metQ	D-methionine transport system substrate-binding protein	1	0	0	0
K20531	trbF	type IV secretion system protein TrbF	1	0	0	0
K06186	bamE, smpA	outer membrane protein assembly factor BamE	2	0	0	0
K02327	POLD1	DNA polymerase delta subunit 1 [EC:2.7.7.7]	1	0	0	0
K03232	EEF1B	elongation factor 1-beta	1	0	0	0
K03235	EF3, TEF3	elongation factor 3	1	0	0	0
K06222	dkgB	2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]	1	0	0	0
K19519	TGFBI, BIGH3	transforming growth factor-beta-induced protein	1	0	0	0
K08837	STK10, LOK	serine/threonine kinase 10 [EC:2.7.11.1]	1	0	0	0
K12527	ygfK	putative selenate reductase [EC:1.97.1.9]	1	0	0	0
K11617	liaS	two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]	2	0	0	0
K18770	pbpD	penicillin-binding protein 4 [EC:2.4.1.129 3.4.16.4]	1	0	0	0
K19220	cwlS	peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-]	2	0	0	0
K03201	virB6, lvhB6	type IV secretion system protein VirB6	1	0	0	0
K11816	YUCCA	indole-3-pyruvate monooxygenase [EC:1.14.13.168]	2	0	0	0
K07139	K07139	uncharacterized protein	1	0	0	0
K11541	URA2	carbamoyl-phosphate synthase / aspartate carbamoyltransferase [EC:6.3.5.5 2.1.3.2]	1	0	0	0
K07426	CYP4B1	cytochrome P450 family 4 subfamily B1 [EC:1.14.14.1]	1	0	0	0
K10636	AMFR, GP78	E3 ubiquitin-protein ligase AMFR [EC:2.3.2.36]	1	0	0	0
K18398	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [EC:3.1.-.-]	1	0	0	0
K18554	cpt	chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]	1	0	0	0
K04037	chlL	light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]	1	0	0	0
K15514	boxD	3,4-dehydroadipyl-CoA semialdehyde dehydrogenase [EC:1.2.1.77]	1	0	0	0
K06128	LYPLA1	lysophospholipase I [EC:3.1.1.5]	2	0	0	0
